index,p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,p_cluster_6,p_cluster_7,p_cluster_8,p_cluster_9,p_cluster_10,p_cluster_11,p_cluster_12,p_cluster_13,p_cluster_14,p_cluster_15,p_cluster_16,p_cluster_17,p_cluster_18,p_cluster_19,p_cluster_20,p_cluster_21,p_cluster_22,p_cluster_23,p_cluster_24,p_cluster_25,p_cluster_26,p_cluster_27,p_cluster_28,p_cluster_29,p_cluster_30,p_cluster_31,p_cluster_32,p_cluster_33,p_cluster_34,p_cluster_35,p_cluster_36,p_cluster_37,p_cluster_38,p_cluster_39,p_cluster_40,p_cluster_41,p_cluster_42,p_cluster_43,p_cluster_44,p_cluster_45,p_cluster_46,p_cluster_47,p_cluster_48,p_cluster_49
0,2.2364411475235134e-45,0.0,0.9999998903236988,4.331893238304109e-30,0.0,4.9680835604974884e-45,0.0,0.0,0.0,5.699749381179122e-18,0.0,0.0,0.0,1.2112996912711171e-22,0.0,4.8336573401000494e-14,0.0,5.946334794567209e-115,0.0,0.0,1.1446588331016909e-66,0.0,1.839882011102823e-17,0.0,0.0,0.0,3.900403250179306e-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.568035542184023e-153,0.0,0.0,0.0,0.0,0.0,5.956795158306828e-36,0.0,0.0,0.0,0.0,1.0967623256360166e-07,0.0,1.367802292888505e-90,0.0
1,1.5310312007470983e-38,0.0,0.9999995521412054,5.946945542814899e-28,0.0,2.101285115894097e-38,0.0,0.0,0.0,5.259639943436578e-15,0.0,0.0,0.0,1.1264248051127717e-20,0.0,5.692974424140688e-11,0.0,9.563309652637081e-101,0.0,0.0,1.5881631300400205e-55,0.0,9.56689661778461e-13,0.0,0.0,0.0,3.404671695424918e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.434103644264687e-141,0.0,0.0,0.0,0.0,0.0,6.28935178982815e-34,0.0,0.0,0.0,0.0,4.4780092254635794e-07,0.0,2.3598041954799303e-84,0.0
2,5.345571048392891e-31,0.0,4.4856488183428744e-06,4.237203784666826e-24,0.0,1.4754157791380988e-35,0.0,0.0,0.0,8.666275990111843e-14,0.0,0.0,0.0,2.8406974698289845e-14,0.0,0.9999955113544402,0.0,2.1996402497773674e-82,0.0,0.0,1.3698823700475385e-36,0.0,2.838763928700774e-09,0.0,0.0,0.0,2.0263930770455985e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4226550440169284e-109,0.0,0.0,0.0,0.0,0.0,6.951075020674651e-24,0.0,0.0,0.0,0.0,1.5784326767352724e-10,0.0,2.0377400695657542e-70,0.0
3,7.267274250750598e-34,0.0,0.9999863424974778,7.325224235899807e-23,0.0,1.4163690724489712e-31,0.0,0.0,0.0,1.8653679462819362e-15,0.0,0.0,0.0,2.4142883074310548e-17,0.0,8.298892638891291e-10,0.0,3.602482626149561e-88,0.0,0.0,1.0614811798934827e-48,0.0,6.091057075777157e-10,0.0,0.0,0.0,5.707633524186629e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192687084275116e-125,0.0,0.0,0.0,0.0,0.0,5.859851199164154e-28,0.0,0.0,0.0,0.0,1.3656063533854131e-05,0.0,7.973389765044977e-77,0.0
4,1.0,0.0,1.8769444668642615e-29,3.1315569819745292e-37,0.0,6.969572225174193e-44,0.0,0.0,0.0,1.36927334141008e-29,0.0,0.0,0.0,8.155538951179057e-33,3.840664416718024e-290,1.6870096222942155e-33,0.0,2.14136825872599e-89,0.0,0.0,3.388713255410152e-42,0.0,7.011153936757486e-24,0.0,0.0,0.0,2.9359470771121635e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009559660008654e-105,0.0,0.0,0.0,0.0,0.0,2.4080556067914697e-39,0.0,0.0,0.0,0.0,9.292358048174253e-31,0.0,9.736150128227312e-73,0.0
5,7.387472235106391e-28,0.0,0.9997791909353912,1.7066613178454036e-07,0.0,7.406269496394556e-24,0.0,0.0,0.0,5.430825832197111e-10,0.0,0.0,0.0,1.603212516280716e-11,9.2742619723e-313,3.628896138311281e-07,0.0,4.7313488583696225e-76,0.0,0.0,9.73335693697722e-36,0.0,0.00020372626194218007,0.0,0.0,0.0,1.0704546463956623e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.405668956416009e-105,0.0,0.0,0.0,0.0,0.0,1.293474829341027e-20,0.0,0.0,0.0,0.0,1.6548687830909405e-05,0.0,1.8657176639126736e-63,0.0
6,6.5699505309621835e-31,0.0,0.9999906471823832,7.247559967170056e-21,0.0,1.9015696731081055e-33,0.0,0.0,0.0,7.27077953149414e-10,0.0,0.0,0.0,3.959871307203324e-14,0.0,2.512575350474321e-08,0.0,1.2652326567758783e-91,0.0,0.0,2.208629783806908e-42,0.0,9.581694830775708e-11,0.0,0.0,0.0,7.378981368859649e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.601189968166455e-122,0.0,0.0,0.0,0.0,0.0,7.55557991076559e-24,0.0,0.0,0.0,0.0,9.32686890429335e-06,0.0,8.718690370451867e-75,0.0
7,1.1044528122897426e-27,0.0,0.9999103820254617,1.28160032187891e-16,0.0,5.582971077504793e-28,0.0,0.0,0.0,1.3295399203756136e-09,0.0,0.0,0.0,3.054046427694345e-11,0.0,6.965887475125625e-07,0.0,1.043405890137972e-80,0.0,0.0,1.6410277306388478e-33,0.0,9.475681029181215e-06,0.0,0.0,0.0,7.091535160192408e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4320745986405315e-115,0.0,0.0,0.0,0.0,0.0,3.952470849012011e-21,0.0,0.0,0.0,0.0,7.944434469847673e-05,0.0,1.3106395862790423e-64,0.0
8,1.3444734252129893e-21,0.0,6.776862490039577e-14,2.430503487640013e-19,0.0,2.172816006718883e-18,0.0,0.0,0.0,4.441514921440589e-14,0.0,0.0,0.0,1.2083812100496652e-17,2.151020750466176e-252,1.8206191629051167e-16,0.0,8.233694264552948e-50,0.0,0.0,2.1129382206422815e-22,0.0,0.9999999999998863,0.0,0.0,0.0,2.755734118367062e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48153013797619e-77,0.0,0.0,0.0,0.0,0.0,2.861896631457741e-24,0.0,0.0,0.0,0.0,2.4528861492676594e-16,0.0,7.7010024623944e-54,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1.649463835728094e-27,0.0,0.0007979276309476296,3.0438429142594903e-17,0.0,3.039671801338984e-23,0.0,0.0,0.0,3.6826667605532637e-08,0.0,0.0,0.0,2.4561294955954385e-10,6.83886051168e-312,9.958820218964799e-10,0.0,4.413579679840696e-71,0.0,0.0,4.1452237184666914e-32,0.0,0.9992019218386273,0.0,0.0,0.0,6.244506948443307e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7228733756660004e-102,0.0,0.0,0.0,0.0,0.0,6.398097349704902e-24,0.0,0.0,0.0,0.0,1.1246227776108233e-07,0.0,3.4288752200384665e-63,0.0
11,3.457127806878749e-28,0.0,0.9976431950871822,1.0539330548011092e-17,0.0,8.009052200603569e-27,0.0,0.0,0.0,4.0336685188877246e-07,0.0,0.0,0.0,1.0431815126426303e-07,2.37e-322,3.854593943479368e-09,0.0,9.31666355114924e-72,0.0,0.0,2.2847627631447808e-33,0.0,2.7093923660553712e-05,0.0,0.0,0.0,1.5351886032881706e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.052939540336038e-106,0.0,0.0,0.0,0.0,0.0,4.767063811347259e-21,0.0,0.0,0.0,0.0,0.0023291994495619603,0.0,1.3611364922617392e-62,0.0
12,1.3292196304922627e-37,0.0,0.9999969631086926,7.251236316070467e-26,0.0,7.618745072605866e-36,0.0,0.0,0.0,8.370519825479433e-14,0.0,0.0,0.0,1.2973532304383304e-18,0.0,4.3191315810999704e-12,0.0,2.057596811841395e-99,0.0,0.0,5.26980373325253e-53,0.0,4.4101046982320497e-13,0.0,0.0,0.0,5.819549676335575e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2392460337652007e-136,0.0,0.0,0.0,0.0,0.0,1.951566473034104e-33,0.0,0.0,0.0,0.0,3.0368864880200728e-06,0.0,9.45877291457361e-81,0.0
